Commodity,APMC,Year,Month,min_price,max_price,APMC_commodity,fluct_price
amba koy,amarawati,2016,May,4125,5375,amarawati+amba koy,1250
ambat chuka,kamthi,2016,November,1214,1900,kamthi+ambat chuka,686
ambat chuka,nagpur,2016,June,1000,1500,nagpur+ambat chuka,500
ambat chuka,nashik-devlali,2016,September,360,647,nashik-devlali+ambat chuka,287
ambat chuka,pune-manjri,2016,September,1031,1844,pune-manjri+ambat chuka,1811
amla,jalgaon,2015,October,1450,1647,jalgaon+amla,676
amla,kamthi,2015,November,1200,3000,kamthi+amla,2400
apple,amarawati,2015,September,3780,6400,amarawati+apple,2867
apple,amarawati,2016,September,7789,14184,amarawati+apple,6800
apple,amarawati-fruit and vegetables,2016,September,7091,13364,amarawati-fruit and vegetables+apple,6273
apple,aurangabad,2014,September,5200,8800,aurangabad+apple,3600
apple,aurangabad,2015,September,5269,8500,aurangabad+apple,3300
apple,aurangabad,2016,September,6682,10182,aurangabad+apple,5700
apple,chandrapur,2014,September,2687,8726,chandrapur+apple,6039
apple,chandrapur,2015,September,5050,8500,chandrapur+apple,4700
apple,chandrapur,2016,September,4500,10262,chandrapur+apple,7072
apple,jalgaon,2014,September,5667,7833,jalgaon+apple,2250
apple,jalgaon,2015,September,5000,7500,jalgaon+apple,2500
apple,jalgaon,2016,September,5286,9000,jalgaon+apple,4600
apple,kalyan,2015,September,4000,7000,kalyan+apple,3000
apple,kalyan,2016,September,9500,12500,kalyan+apple,3250
apple,karad,2014,September,5763,11406,karad+apple,5643
apple,karad,2015,September,6450,9550,karad+apple,3500
apple,karad,2016,November,7800,10240,karad+apple,2940
apple,kolhapur,2015,September,4058,11856,kolhapur+apple,8964
apple,kolhapur,2016,September,8571,14690,kolhapur+apple,9903
apple,mumbai,2014,September,3820,6673,mumbai+apple,4033
apple,mumbai,2015,September,7143,9500,mumbai+apple,4892
apple,mumbai,2016,May,3184,9000,mumbai+apple,6390
apple,mumbai-fruit market,2016,September,5364,9114,mumbai-fruit market+apple,6350
apple,nagpur,2014,September,4019,7096,nagpur+apple,3370
apple,nagpur,2015,September,5385,8738,nagpur+apple,3353
apple,nagpur,2016,September,9005,13833,nagpur+apple,8821
apple,nashik,2014,November,6214,10889,nashik+apple,4715
apple,nashik,2015,November,6000,10600,nashik+apple,5000
apple,nashik,2016,September,9182,16018,nashik+apple,6836
apple,rahuri,2016,September,5250,8500,rahuri+apple,3250
apple,sangli-phale bhajipalam,2015,September,4375,12489,sangli-phale bhajipalam+apple,8834
apple,sangli-phale bhajipalam,2016,September,7500,16082,sangli-phale bhajipalam+apple,10679
apple,solapur,2016,February,750,2250,solapur+apple,1800
arvi,mumbai,2014,September,2743,3000,mumbai+arvi,400
arvi,mumbai,2015,September,2726,3042,mumbai+arvi,365
arvi,mumbai,2016,September,1678,2067,mumbai+arvi,511
arvi,pune,2014,September,2000,2500,pune+arvi,557
arvi,pune,2015,September,2769,3208,pune+arvi,1125
arvi,pune,2016,September,2933,4504,pune+arvi,1783
arvi,pune-pimpri,2016,May,2500,3000,pune-pimpri+arvi,500
awala,aurangabad,2014,September,713,1163,aurangabad+awala,569
awala,aurangabad,2015,September,1600,1800,aurangabad+awala,419
awala,aurangabad,2016,September,1011,1500,aurangabad+awala,500
awala,chandrapur,2014,September,1400,1820,chandrapur+awala,681
awala,chandrapur,2015,September,1500,2000,chandrapur+awala,833
awala,chandrapur,2016,October,1800,2375,chandrapur+awala,675
awala,kolhapur,2015,September,2000,2600,kolhapur+awala,1300
awala,kolhapur,2016,October,1750,2850,kolhapur+awala,1867
awala,nagpur,2015,November,600,1000,nagpur+awala,400
awala,osmanabad,2015,November,550,1650,osmanabad+awala,1100
bajri,achalpur,2015,January,1500,1630,achalpur+bajri,130
bajri,ahmednagar,2014,September,1507,1750,ahmednagar+bajri,350
bajri,ahmednagar,2015,September,1615,1800,ahmednagar+bajri,350
bajri,ahmednagar,2016,September,1825,2092,ahmednagar+bajri,500
bajri,ahmedpur,2015,October,1279,1346,ahmedpur+bajri,88
bajri,ahmedpur,2016,September,1540,1540,ahmedpur+bajri,100
bajri,akkolkot,2014,October,1370,1429,akkolkot+bajri,59
bajri,akkolkot,2015,October,1635,1635,akkolkot+bajri,310
bajri,akkolkot,2016,September,1455,1472,akkolkot+bajri,169
bajri,akluj,2014,September,1526,1638,akluj+bajri,112
bajri,akluj,2015,May,1456,1458,akluj+bajri,2
bajri,akluj,2016,September,1646,1706,akluj+bajri,200
bajri,akola,2015,September,1700,1825,akola+bajri,300
bajri,akola,2016,September,1750,1900,akola+bajri,250
bajri,akole,2014,September,1467,1750,akole+bajri,375
bajri,akole,2015,September,1425,1850,akole+bajri,500
bajri,akole,2016,September,1483,2200,akole+bajri,750
bajri,amalner,2014,September,1200,1390,amalner+bajri,214
bajri,amalner,2015,September,1366,1516,amalner+bajri,211
bajri,amalner,2016,September,1739,1862,amalner+bajri,293
bajri,amarawati,2015,September,1469,1754,amarawati+bajri,285
bajri,amarawati,2016,October,1853,2118,amarawati+bajri,371
bajri,ambad(vadi godri),2014,November,1229,1619,ambad(vadi godri)+bajri,393
bajri,ambad(vadi godri),2015,September,1307,1702,ambad(vadi godri)+bajri,425
bajri,ambad(vadi godri),2016,September,1645,1962,ambad(vadi godri)+bajri,583
bajri,ambejogai,2014,September,1538,1616,ambejogai+bajri,90
bajri,ambejogai,2015,September,1642,1645,ambejogai+bajri,59
bajri,ambejogai,2016,November,1572,1651,ambejogai+bajri,261
bajri,ashti (jalna),2015,October,1376,1530,ashti (jalna)+bajri,183
bajri,ashti (jalna),2016,September,1376,1419,ashti (jalna)+bajri,63
bajri,atpadi,2014,September,1500,1900,atpadi+bajri,440
bajri,atpadi,2016,September,1733,2000,atpadi+bajri,267
bajri,aurangabad,2014,November,1307,1537,aurangabad+bajri,269
bajri,aurangabad,2015,January,1250,1550,aurangabad+bajri,300
bajri,aurangabad,2016,August,1550,1750,aurangabad+bajri,200
bajri,ausa,2015,November,1526,1768,ausa+bajri,281
bajri,ausa,2016,May,1841,1951,ausa+bajri,200
